język,dochod
en,14895002.52
others,6343653.5
,
en,14895002.52
da,1631483.75
pl,992802.75
sv,798818
pt,697557.5
de,576369
nb,559251.25
fi,472242.5
it,322223.75
es,292905
,
en,14895002.52
da,1631483.75
pl,992802.75
sv,798818
pt,697557.5
de,576369
nb,559251.25
fi,472242.5
it,322223.75
es,292905
fr,182863.75
ru,88798.25
nl,51150
el,15070
tr,6862.5
ro,6368.75
cs,737.5
no,87.5
